행정동코드,자치구,행정동명,성별,연령대,총인구,1인가구수,커뮤니케이션이 적은 집단,평일 외출이 적은 집단,휴일 외출이 적은 집단,출근소요시간 및 근무시간이 많은 집단,외출이 매우 적은 집단(전체),외출이 매우 많은 집단,동영상서비스 이용이 많은 집단,생활서비스 이용이 많은 집단,재정상태에 대한 관심집단,외출-커뮤니케이션이 모두 적은 집단(전체),,,,,,,,,,,
1101058,종로구,교남동,02,35,208 ,30 ,1 ,1 ,1 ,1 ,0 ,10 ,2 ,2 ,1 ,1 ,,,,,,,,,,,
1101058,종로구,교남동,02,40,239 ,30 ,1 ,1 ,2 ,1 ,1 ,5 ,2 ,2 ,2 ,1 ,,,,,,,,,,,
1101058,종로구,교남동,02,45,231 ,29 ,2 ,2 ,2 ,2 ,1 ,3 ,3 ,2 ,1 ,1 ,,,,,,,,,,,
1101058,종로구,교남동,02,50,257 ,35 ,3 ,2 ,3 ,2 ,5 ,2 ,3 ,2 ,4 ,3 ,,,,,,,,,,,
1101058,종로구,교남동,02,55,190 ,26 ,2 ,2 ,2 ,1 ,0 ,1 ,2 ,3 ,1 ,0 ,,,,,,,,,,,
1101058,종로구,교남동,02,60,201 ,29 ,3 ,2 ,2 ,1 ,1 ,1 ,2 ,3 ,1 ,2 ,,,,,,,,,,,
1101058,종로구,교남동,02,65,163 ,38 ,2 ,2 ,5 ,2 ,5 ,1 ,2 ,2 ,3 ,2 ,,,,,,,,,,,
1101058,종로구,교남동,02,70,117 ,29 ,4 ,2 ,0 ,2 ,2 ,0 ,2 ,4 ,2 ,1 ,,,,,,,,,,,
1101058,종로구,교남동,02,75,180 ,70 ,0 ,1 ,2 ,1 ,1 ,0 ,0 ,2 ,5 ,1 ,,,,,,,,,,,
1101060,종로구,가회동,01,20,125 ,43 ,2 ,12 ,12 ,12 ,8 ,2 ,14 ,1 ,4 ,0 ,,,,,,,,,,,
1101060,종로구,가회동,01,25,138 ,48 ,10 ,3 ,8 ,5 ,4 ,4 ,6 ,5 ,3 ,4 ,,,,,,,,,,,
1101060,종로구,가회동,01,30,192 ,75 ,22 ,7 ,9 ,14 ,11 ,9 ,9 ,9 ,7 ,11 ,,,,,,,,,,,
1101060,종로구,가회동,01,35,179 ,65 ,11 ,3 ,12 ,4 ,10 ,8 ,5 ,3 ,3 ,5 ,,,,,,,,,,,
1101060,종로구,가회동,01,40,204 ,52 ,9 ,3 ,7 ,5 ,4 ,5 ,6 ,4 ,3 ,0 ,,,,,,,,,,,
1101060,종로구,가회동,01,45,217 ,48 ,10 ,9 ,4 ,9 ,5 ,4 ,8 ,3 ,7 ,5 ,,,,,,,,,,,
1101060,종로구,가회동,01,50,171 ,32 ,4 ,1 ,2 ,2 ,0 ,2 ,3 ,3 ,5 ,4 ,,,,,,,,,,,
1101060,종로구,가회동,01,55,159 ,32 ,7 ,4 ,2 ,3 ,7 ,1 ,4 ,4 ,3 ,4 ,,,,,,,,,,,
1101060,종로구,가회동,01,60,138 ,26 ,2 ,4 ,2 ,2 ,3 ,1 ,2 ,4 ,2 ,0 ,,,,,,,,,,,
1101060,종로구,가회동,01,65,122 ,32 ,3 ,2 ,7 ,2 ,2 ,0 ,3 ,1 ,2 ,0 ,,,,,,,,,,,
1101060,종로구,가회동,01,70,65 ,19 ,3 ,3 ,0 ,2 ,6 ,0 ,4 ,2 ,0 ,0 ,,,,,,,,,,,
1101060,종로구,가회동,01,75,141 ,46 ,1 ,0 ,4 ,0 ,0 ,1 ,0 ,1 ,5 ,0 ,,,,,,,,,,,
