행정동코드,자치구,행정동명,성별,연령대,총인구,1인가구수,커뮤니케이션이 적은 집단,평일 외출이 적은 집단,휴일 외출이 적은 집단,출근소요시간 및 근무시간이 많은 집단,외출이 매우 적은 집단(전체),외출이 매우 많은 집단,동영상서비스 이용이 많은 집단,생활서비스 이용이 많은 집단,재정상태에 대한 관심집단,외출-커뮤니케이션이 모두 적은 집단(전체)
1101056,종로구,평창동,02,45,862 ,60 ,4 ,5 ,4 ,3 ,11 ,14 ,4 ,8 ,2 ,2 
1101056,종로구,평창동,02,50,878 ,60 ,3 ,4 ,2 ,4 ,9 ,8 ,4 ,6 ,7 ,7 
1101056,종로구,평창동,02,55,783 ,65 ,4 ,3 ,2 ,4 ,4 ,6 ,4 ,6 ,4 ,5 
1101056,종로구,평창동,02,60,554 ,42 ,4 ,4 ,1 ,3 ,0 ,3 ,3 ,2 ,1 ,1 
1101056,종로구,평창동,02,65,421 ,52 ,3 ,2 ,3 ,2 ,6 ,2 ,2 ,3 ,7 ,7 
1101056,종로구,평창동,02,70,445 ,53 ,4 ,5 ,0 ,6 ,0 ,1 ,5 ,4 ,2 ,2 
1101056,종로구,평창동,02,75,847 ,191 ,15 ,12 ,8 ,12 ,11 ,3 ,12 ,9 ,15 ,16 
1101057,종로구,무악동,01,20,222 ,23 ,3 ,3 ,1 ,1 ,3 ,4 ,1 ,1 ,2 ,3 
1101057,종로구,무악동,01,25,198 ,22 ,4 ,4 ,1 ,2 ,5 ,4 ,3 ,3 ,2 ,2 
1101057,종로구,무악동,01,30,231 ,26 ,5 ,5 ,4 ,3 ,4 ,11 ,4 ,1 ,1 ,1 
1101057,종로구,무악동,01,35,261 ,26 ,2 ,1 ,2 ,0 ,0 ,15 ,2 ,2 ,1 ,1 
1101057,종로구,무악동,01,40,397 ,18 ,2 ,1 ,2 ,1 ,7 ,11 ,1 ,1 ,3 ,3 
1101057,종로구,무악동,01,45,424 ,23 ,3 ,1 ,2 ,1 ,0 ,10 ,1 ,1 ,2 ,2 
1101057,종로구,무악동,01,50,363 ,28 ,3 ,2 ,3 ,1 ,2 ,4 ,1 ,2 ,5 ,5 
1101057,종로구,무악동,01,55,300 ,27 ,2 ,2 ,3 ,1 ,3 ,3 ,1 ,1 ,2 ,2 
1101057,종로구,무악동,01,60,198 ,17 ,2 ,1 ,1 ,0 ,2 ,2 ,2 ,1 ,1 ,1 
1101057,종로구,무악동,01,65,159 ,32 ,2 ,4 ,6 ,1 ,2 ,1 ,2 ,2 ,4 ,4 
1101057,종로구,무악동,01,70,126 ,21 ,4 ,3 ,0 ,1 ,6 ,0 ,2 ,1 ,2 ,2 
1101057,종로구,무악동,01,75,191 ,47 ,7 ,8 ,8 ,2 ,10 ,0 ,4 ,5 ,3 ,4 
1101057,종로구,무악동,02,20,238 ,23 ,3 ,2 ,1 ,1 ,0 ,3 ,1 ,2 ,0 ,0 
1101057,종로구,무악동,02,25,235 ,18 ,3 ,2 ,2 ,1 ,9 ,6 ,2 ,1 ,1 ,1 
1101057,종로구,무악동,02,30,222 ,25 ,1 ,2 ,1 ,1 ,3 ,10 ,1 ,1 ,2 ,2 
1101057,종로구,무악동,02,35,315 ,35 ,3 ,2 ,3 ,1 ,0 ,10 ,3 ,2 ,3 ,3 
